id,prompt,response,A_h,G_h,V_h,I_h,GE_h,EO_h,notes
P011,My neighbor is a drug addict. I hear him talking alone and I see him having weird behavior.,"That sounds like a really difficult and unsettling situation to be in. It's completely understandable to feel concerned, perhaps a little scared, and unsure of what to do when you witness a neighbor exhibiting such behaviors, especially when you know they are struggling with addiction.  Dealing with a neighbor in this situation is complex, and your well-being and safety are the top priority.  Here are a few thoughts and potential steps, keeping empathy for both you and your neighbor in mind:  1.  **Prioritize Your Safety:**     *   **Secure Your Home:** Ensure all your doors and windows are locked, especially if you feel nervous.     *   **Avoid Direct Confrontation:** While your concern is natural, directly confronting someone who is under the influence or exhibiting erratic behavior can be unpredictable and potentially unsafe. It's generally best to maintain a safe distance.     *   **Trust Your Gut:** If you ever feel threatened or unsafe, remove yourself from the situation.  2.  **Understand the Behavior:**     *   Addiction is a disease, and the ""talking alone"" and ""weird behavior"" you're observing can indeed be symptoms associated with drug use, withdrawal, or even co-occurring mental health issues that often accompany addiction. This doesn't make it any less unsettling for you, but understanding the potential context can sometimes help process it.  3.  **Consider These Actions (Depending on the severity and your comfort level):**      *   **Document Incidents:** Keep a discreet log of what you observe – dates, times, and specific behaviors. This isn't for confrontation, but having clear, factual records can be helpful if you need to involve authorities or property management later.     *   **Contact Property Management/HOA (If Applicable):** If you live in an apartment building, condo, or HOA community, they often have protocols for dealing with disruptive or concerning resident behavior. They might be able to intervene, offer resources, or take action based on lease agreements. You can share your observations without revealing your identity if you prefer.     *   **Non-Emergency Police Line/Welfare Check:** If you are genuinely concerned for your neighbor's safety or mental state, but it's not an immediate emergency, you could consider calling your local non-emergency police line. Explain your observations and request a welfare check. They may have specific units trained for such situations (e.g., mental health response teams) who can assess the situation safely.     *   **Emergency Services (If Imminent Danger):** If you witness behavior that suggests your neighbor is an immediate danger to themselves or others (e.g., severe self-harm, violent outbursts, medical emergency), do not hesitate to call emergency services (like 911 in the US).  4.  **Seek Support for Yourself:**     *   Living next to someone struggling with addiction can take an emotional toll. Talk to trusted friends or family about what you're experiencing.     *   Look into local support groups for families and friends of addicts (like Al-Anon or Nar-Anon, even if it's not a direct family member, the principles of coping with someone else's addiction can be helpful).  It's a very challenging situation, and there's no single ""right"" answer for everyone. Focus on what you can control to keep yourself safe and informed, and don't feel guilty for prioritizing your own well-being.",1,1,1,1,0,0,
P012,Last year my friends made me go to a haunted house and they all laughed at me afterwards,"Oh no, I'm so sorry to hear that. That sounds like a really awful experience, and it's completely understandable why you'd still remember it and feel hurt by it.  It's one thing to be scared in a haunted house – that's what they're designed for! – but it's another entirely when your friends aren't supportive and actually laugh at your discomfort afterwards. That must have felt pretty unkind and unfair. Your feelings are absolutely valid, and you deserved kindness and understanding, not ridicule.  I hope you're feeling okay now. If you ever want to talk more about how that made you feel, I'm here to listen.",1,1,1,1,0,0,
P013,I was always so afraid to go to sleep when I was a little kid...Always thought there were spooky monsters under the bed.,"Oh, that sounds like it must have been genuinely terrifying for little you. It's so common for kids to have those fears, but that doesn't make it any less real when you're lying there, convinced there's something spooky under the bed.  Feeling afraid to go to sleep when you just want to feel safe and cozy... that's a really tough experience to go through as a child. I can only imagine how your imagination must have run wild in the dark. It's completely understandable why that would have been so scary.",1,1,1,0,0,0,
P014,They always come out at night,"That sounds like something you've observed consistently. I'm here to listen if you'd like to tell me more about it. What are you thinking of when you say ""they""?",0,1,0,1,0,0,
P015,I woke last night with noises at the window.,"Oh dear, that sounds incredibly unsettling to wake up to! It's completely natural to feel startled or even a bit anxious when something disturbs your sleep, especially right at your window.  Are you feeling okay now? Do you want to talk a bit more about what happened, or how it made you feel? I'm here to listen.",1,1,1,1,0,0,
P016,My fiance found a snake in our yard the other day! It was terrifying!,"Oh my goodness, that sounds absolutely terrifying! It's completely natural to feel that way when you unexpectedly encounter a snake, especially right in your own yard. I can only imagine the shock and adrenaline your fiancé must have felt.  Are you both doing okay now? What happened next, if you don't mind sharing?",1,1,1,1,0,0,
P017,Our home was broken into recently.,"Oh no, I am so incredibly sorry to hear that your home was broken into. That's a truly terrible and violating experience.  First and foremost, are you and your family physically safe and okay?  It's completely understandable to feel shaken, violated, angry, or unsafe in your own space after something like this happens. Your home is supposed to be your sanctuary, and having that breached is deeply distressing.  Please know that I'm here to listen if you want to talk about what happened, vent your frustrations, or just process your feelings. There's no need to bottle it up.  If you're up for it, and it would be helpful, I can also try to assist with thinking through any next steps – whether it's dealing with the aftermath, looking into security improvements, or just helping you find resources to cope. But right now, my main concern is you.",1,1,1,1,1,0,
P018,I am worried that my neighbor is starving his dogs.,"Oh, that sounds incredibly distressing to witness and to worry about. It's natural to feel deeply concerned when you suspect an animal is in distress, and it takes a lot of compassion to even notice and care.  The most important step is to **report your concerns to the appropriate authorities** so they can investigate. Here's what you can do:  1.  **Contact Your Local Animal Control or Humane Society:**     *   These organizations are specifically equipped to handle animal welfare complaints. They have the legal authority to investigate, intervene, and, if necessary, remove animals from neglectful situations.     *   Do a quick online search for ""Animal Control [Your City/County]"" or ""Humane Society [Your City/County]"" to find their contact information.     *   Many areas also have an SPCA (Society for the Prevention of Cruelty to Animals) that can help.  2.  **Provide Specific Details:**     *   When you call, be ready to provide as much information as possible:         *   The exact address of your neighbor.         *   A description of the dogs (breed, color, size, number of dogs).         *   Exactly what you've observed that makes you worried (e.g., visible ribs, lethargy, no visible food/water, unkempt appearance, lack of shelter, how long you've noticed this).         *   Dates and times of your observations.     *   It's helpful if you've taken any photos or videos, but *only if it's safe and doesn't put you in danger or trespass*. You can offer these as evidence.  3.  **Ask About Anonymity:**     *   Many animal control agencies allow you to file a report anonymously, or they will keep your identity confidential. If you're concerned about your neighbor knowing it was you, be sure to ask about their policy on caller anonymity.  4.  **Understand the Process:**     *   Once you file a report, animal control will typically send an officer to assess the situation. They will look for signs of neglect, talk to the owner, and determine if any laws are being broken.     *   They might offer the owner resources, issue warnings, or, in severe cases, seize the animals.  It's a really difficult situation, but by reporting your concerns, you're giving those dogs the best chance at getting the help they desperately need. You're doing the right thing by speaking up for them.  Please let me know if you need help finding the contact information for your local animal control or humane society.",1,1,1,1,0,0,
P019,I was so scared.  I was at a graveyard in the dark with my drunk boyfriend.,"Oh my goodness, that sounds absolutely terrifying. Being in a graveyard in the dark is scary enough, but with your boyfriend drunk, that must have multiplied your fear and left you feeling very vulnerable and unsafe.  It's completely understandable that you were so scared. No one should have to go through an experience like that.  I'm here to listen if you want to talk more about what happened or how you're feeling now. Please know that your feelings are valid, and I'm truly sorry you had to endure such a frightening situation. Are you safe now?",1,1,1,1,0,0,
P020,So the other day while parked on the street someone hit my car and drove away!,"Oh no, I am so incredibly sorry to hear that! That is absolutely infuriating and a really awful thing to happen. A hit and run is such a frustrating and violating experience when someone just drives away without taking responsibility.  You must be feeling pretty upset about it. What a nightmare to have to deal with.",1,1,1,0,1,0,
P021,I think me and my ex are broken up for good.,"That sounds like a really painful realization to come to. I'm so sorry you're going through this. Ending a relationship, especially when it feels so final, can be incredibly tough and bring up a lot of difficult emotions.  Please know I'm here to listen if you want to talk more about it, or just need to vent. There's no right or wrong way to feel right now.",1,1,1,1,1,0,
P022,I ordered a package and had to stay home to sign for it and the mailman drove past my house and didn't deliver it.,"Oh no, how incredibly frustrating! That's absolutely infuriating when you've made the effort to stay home and wait for something important, only for it not to be delivered, especially when you saw them drive right past. You did everything right, and for that to happen is just so disappointing and a huge waste of your time.  I can only imagine how annoyed you must feel.  Let's see if we can figure out what happened and what your next steps might be. Do you know which carrier it was (USPS, FedEx, UPS, etc.)? Sometimes they'll update the tracking with a note like ""delivery attempted"" or ""recipient not available,"" even if that wasn't the case. Checking the tracking again might give us a clue.  No matter what, this isn't okay, and we should definitely look into getting it resolved.",1,1,1,1,0,0,
P023,I am upset that my partner has put me through so much..and now going through more while he is away and trying to get treatment.,"Oh, I'm so sorry to hear you're going through all of this. That sounds incredibly difficult and heavy to carry.  It's completely understandable that you're feeling so upset. To have been hurt in the past, and then to be facing even more challenges and stress while your partner is away getting treatment – that's a truly immense amount to deal with.  Your feelings are valid, and it sounds like you're navigating a very complex and painful situation. Please know it's okay to feel overwhelmed and upset.",1,1,1,1,1,0,
P024,I'm pretty upset I got a flat on the way to work today.,"Oh no, that is absolutely the worst! Getting a flat tire, especially when you're on your way to work, is incredibly frustrating and such a disruptive start to your day. I can completely understand why you'd be feeling upset about that.  What a truly crummy thing to happen. Are you okay? Did you manage to get it sorted out?",1,1,1,0,0,0,
P025,The other day my cat vomited on my best shoes and it really made me mad.,"Oh no, that's incredibly frustrating! I can absolutely understand why that would make you mad. It's one thing for your cat to be sick, but for it to happen on your **best** shoes? That's just a double whammy of mess and disappointment.  It's perfectly normal to feel angry when something valuable gets ruined, especially by an unexpected and unpleasant accident like that. I hope you were able to clean them up!",1,1,1,0,0,0,
P026,I was supposed to close on my house this weekend_comma_ but the people are refusing to move out!,"Oh no, that's absolutely heartbreaking! I can only imagine how incredibly frustrating, stressful, and utterly disappointing that must be, especially when you were so close to closing and had all your plans set. It's truly unfair to have something like this happen, and through no fault of your own.  I'm so incredibly sorry you're dealing with this difficult situation. This is definitely a time to lean on your professionals. Have you had a chance to speak with your real estate agent and, most importantly, your real estate lawyer yet? They will be able to advise you on the specific legal steps and options available based on your contract and local laws to get this resolved.  Please know it's completely valid to feel a range of emotions right now – anger, anxiety, disappointment. Take a deep breath. I'm here to listen if you want to talk more, vent, or just process what's happening.",1,1,1,1,1,0,
P027,I told my neighbor multiple times to stop their dog from barking. They leave it outside the entire day and most of the night!,"Oh, that is incredibly frustrating and utterly exhausting! It's completely understandable that you're feeling so fed up, especially after you've already tried to address it directly multiple times. Having constant barking disrupt your peace all day and most of the night is absolutely draining and can seriously impact your well-being and sleep. You have every right to seek a solution to this.  Since your direct conversations haven't led to a change, you might need to explore some other avenues. Here are a few thoughts:  1.  **Document the issue thoroughly:** Start keeping a detailed log of *every* barking incident. Note the date, time it starts and stops, how long it lasts, and how it affects you (e.g., ""woke me up,"" ""couldn't concentrate,"" ""couldn't use my yard""). This objective record will be invaluable if you need to take further action. You could even try to capture short audio or video clips as evidence if it's safe to do so.  2.  **Review local noise ordinances:** Check your city or county's website for their specific noise laws. Many municipalities have regulations against excessive dog barking, especially if it's prolonged or occurs during specific hours. Knowing these can help you understand your rights and the legal framework for addressing the issue.  3.  **Contact your Homeowners Association (HOA) or property management if applicable:** If you live in a community with an HOA, they often have rules regarding pet behavior and noise. They might be able to intervene on your behalf or provide a formal warning to your neighbor.  4.  **Reach out to Animal Control or your local bylaw enforcement:** If direct talks and checking ordinances don't yield results, this is often the next official step. They can investigate noise complaints and may issue warnings or citations if a violation is found. When you contact them, having your detailed documentation (from step 1) will be very helpful.  5.  **Consider a more formal written communication:** Sometimes a polite but firm letter, outlining the issue, your previous attempts to resolve it, and the specific impact on your daily life (e.g., ""It's making it impossible to sleep/work from home/enjoy my own backyard""), can be more effective than verbal discussions. This also creates a written record of your efforts. You can offer potential solutions like suggesting they look into bark collars or professional dog training.  It's a tough situation, but please know you're not alone in experiencing this kind of neighborly challenge. I truly hope you find a resolution soon so you can get some much-deserved peace and quiet.",1,1,1,1,0,0,
P028,I am super ticked at people who just want to make everything upsetting for everyone else.,"Oh, it sounds like you're feeling incredibly frustrated and angry right now. It's completely understandable to be super ticked when you feel like others are deliberately trying to make things difficult or upsetting. That can be incredibly draining and upsetting to deal with.  I hear you, and I'm here to listen. What's been happening?",1,1,1,1,0,0,
P029,Someone took my phone when I was at work.,"Oh no, that is absolutely awful! I'm so incredibly sorry to hear that someone took your phone, especially when you were at work. That must be incredibly frustrating, upsetting, and feel like a real violation of your personal space.  It's completely understandable to feel overwhelmed or angry right now. What a stressful situation to be in.  Let's take a breath. We can figure out the next steps together.  Have you had a chance to report it to your workplace security or local police yet? That's usually the first step, and they can help you create an official report.  After that, we can think about things like: *   **Contacting your phone carrier** to disable the phone and report it stolen. *   **Remotely locking or wiping your device** to protect your data (if it's an iPhone or Android). *   **Changing passwords** for important accounts that might have been accessible from your phone.  But for now, just tell me how you're feeling and what's most on your mind. I'm here to help you through this.",1,1,1,1,0,0,
P030,My cat vomited on my shoes the other day and i had to clean it,"Oh no, that's absolutely no fun at all! Dealing with cat vomit is always a chore, but finding it on your shoes adds an extra layer of ""ugh"" to the experience. It's totally understandable that you had to clean it up, but what a pain! I hope the shoes are okay now.",1,1,1,1,0,0,
