emotion,prompt,response
angry, I told my neighbor multiple times to stop their dog from barking. They leave it outside the entire day and most of the night! ,That is awful! I hate people who leave their dogs out all day. That's no life for a dog to live at all. That is terrible. I don't know why people like that bother getting a pet. 
angry,I am super ticked at people who just want to make everything upsetting for everyone else. ,"What do you mean by that? Those people need to find something better to do with their time! Get a hobby, people!"
angry,Someone took my phone when I was at work.,"From your house? do you have any idea who did it? I would be furious, they are expensive now a days!"
disappointed,My cat vomited on my shoes the other day and i had to clean it,ewww. was it really gross? Maybe he had some bad food
disappointed,My ex boyfriend just won't move on. Its sad,Those are the kind you better keep a watch on. You never know what he might do. Don't engage with him he will think that your interested.
disappointed,god_comma_ im at the lowest point i've ever been in my life,I'm so sorry. You should talk to a therapist. I'm sorry. Maybe she just needs time to process things.
disappointed,I loaned my friend a good bit of money_comma_ but he does not seem to be in any rush to pay me back,"If you report him to his wife, the shame will make him pay you back Then talk to someone that he respects maybe they will talk senses into his ""head"""
disappointed,my friend cancelled on me last minute,Ah that sucks. Did they have a good reason to do so? Yes I would be too. I'd let my friend know that I don't appreciate being treated that way.
disappointed,I failed my accounting class over the summer. I now have to retake it setting me back a little. Im a little bummed out.,That sucks. Did you have a hard time with it? Maybe you can get a tutor this time.
disappointed,My birthday was last week.  It was a really upsetting day.  ,Sorry to hear that. Why is that? That must have been very upsetting. It happened to me back in 6th grade.
disappointed,I really wish I had been able to finish that project yesterday.,I'm sorry to hear that you couldn't finish it! What couldn't you finish? Hey you are being too hard on yourself. I'm sure your boss would prefer it done well and not rushed. 
disappointed,I am sad some people I like are such bully's to others. It's a real big turn off. ,"I hate bullies, but they usually get what's coming to them. I know how you feel. Sometimes you just have to show them the error of their ways. If not karma will catch up with them."
disappointed,I'm disappointed in my new car_comma_ it has already broken down twice and now it's in the shop!,I hope you got a warranty on it. New cars should not have issues for a while. Well perhaps you got a lemon. I would ask for a new car if it happens again.
embarrassed,One day I went to school with a stain on my pants and I didn't realize it. I didn't find it until I came home. ,And no one told you about it?  Maybe no one noticed it at all? That is horrible!  I hope they realize that their reaction was not exactly nice.
embarrassed,I was walking and leaned down and ripped my pants,"Wow did anyone see? Dang, it must have been embarrassing "
embarrassed,Went to a friends getty the other week after a long opening to closing shift at work and had too many drinks and ended up peeing myself and blacking out!,"OMG that sounds awful!  Was your friend upset? Nah, if they were understanding it's all good!  Everyone has a little too much from time to time."
embarrassed,I stole alcohol from my dad and was caught and decided to lie instead of confessing. I'm ashamed.,Hey it's ok. We all do stupid things when we are young.  Give it time. I'm sure he will come around. 
embarrassed,You'll never believe what I did today.,Try me haha oh man did the owner get mad...or did he just laugh it off
embarrassed,I was playing with football with my two nephews_comma_ just throwing the ball around_comma_ and I threw the ball too high and hard for my younger nephew. It sailed past him and nailed the neighbor's car behind him_comma_ and left a dent in the door. I felt so stupid having to go up to their house and tell them what happened..,Oh no!  My gut feels sick for you having to go through that.  It happens to all of us but its so painful and awkward.  How did the neighbors take it? Its so commendable that you went over and told them right away.  Not everyone would do that.  Your actions increases my faith in the goodness of people.
embarrassed,I misunderstood what someone said to me at work today. I thought they said something offensive_comma_ and I reacted immediately. It turns out they said a different word. I felt mortified and kept apologizing profusely,I am glad it was resolved. I sure hope that happens.
embarrassed,I was on a flight earlier in the week_comma_ listening to music. I thought my earbuds were plugged into my iPod correctly so that only I could hear the music.. turns out it wasn't_comma_ and everyone could hear it on speaker the entire time. I just assumed it was hard to hear because of the loud plane.. nope. People listened to my death metal with me for two hours and said nothing.,That is funny i feel like someone should have said something though That is great well know you know what not to do on a plane lol
embarrassed,I forgot what I was saying during my speech at work.,"Oh no, that is embarrassing.  Were you able to recover by the end? I am so sorry that happened to you.  Will you get another crack at it sometime? I'm sorry."
embarrassed,I had to give a big presentation at work today. I prepared really hard for it. Unfortunatley when it became time for me to present I got really nervous and just froze up.,"Ohh, I feel sorry for you. It happens. You will be fine. Do your best the next time!"
lonely,She felt so left out,"who felt left out? I'm confued? That's unfortunate, what did she end up doing?"
lonely,Family is out of town for the week and I don't know what to do with myself.,"I would enjoy the peace and quiet!  Kick back, relax, and do whatever you want. Well in that case I hope they come home soon.  My family is just annoying mostly."
lonely,I was very sad when my company had left me alone the other day.,"Your company left you alone? In what way? That does sound like a troubling situation. Oh, I see. That makes a little more sense. Did everything work out, or are they still gone?"
lonely,I divorced my wife_comma_ I have no one to be with now.,"Why did you guys get divorced? Well, then it seems like it was a good choice.  Next time around you will know more what to look for before getting married.  I hope you find someone that matches up better with you."
lonely,I just arrived in a new country after traveling for two months. There arent many people in the new place I am staying. I am starting miss my friends and home.,What country? If you don't mind sharing...I'm in South Texas and loving it :) I'm sure you'll meet some cool people if you find a good Pho restaurant!
lonely,I feel pretty alone when nobody is home.,i like alone time i think its good to find a healthy balance between being alone and being social
lonely,I recently made a move across states for work_comma_ but am having trouble meeting new friends out here.,"Making new friends can be tough, is there anyone at work you bond with? I am sure that you will meet some new friends@"
lonely,My dog died_comma_ I feel so lonely,I'm really sorry to hear that. How long did you have it for? That's really tough right now. I hope you're doing something fun to keep yourself occupied.
lonely,Me and my girlfriend broke up yesterday.,"Im sorry to hear that.  How are you going? Thats true.  Just remember that as much as it might sting now there are plenty of people out there and you want to find one that makes you happy all of the time, not just some of the time."
anxious,I was so nervous and ready to start my move. It was such a long drive. ,Did you get it done Thats a good start
anxious,I am worried I won't wake up to my alarm,does that usually happen often?  haha yeah it happens to me too. I bet you're frustrated about that. Have you tried different apps?
anxious,Sorry to cut that short_comma_ but I have to send an email to a company I really want to work for today and I don't want to mess it up. ,"Sure, go ahead. Is it an important one? That's great. Have yo sent it yet? Congratulations, by the way. Wish you good luck ! OK sure. Go ahead"
anxious,I am watching old episodes of game of thrones right now,i have heard good things about that show.  are you a fan? is it going to be the last season? that's too bad.
anxious,tomorrow we find out if we are having a baby boy or girl,Oh wow!  Congrats!!  What are you hoping for? That is so awesome!  How old are they?
anxious,I am scared of how work is going to go_comma_ it is the start of our busiest period of the year,It'll be OK :) How long does this busyness usually last for? Oh that's not tooo bad...can you take your vacation during that time?
anxious,I am scared about my upcoming job interview_comma_ I get really nervous about this type of thing,"What type of job are you applying for? I bet you are, but don't worry you got this!"
anxious,I was scared when my dad was in the hospital. It just made me worry,What happened? Is he okay now?
anxious,Im starting my new job in 2 weeks and counting day every last second! ,Congratulations. I bet you cant wait. You are gonna do great. Enjoy your time before you start work.
anxious,my job interview coming up has me pretty nervous. I keep thinking about it.,That can be nerve wracking.  Are you worried? Ah.  I find a mock interview with a friend can help. Good luck!
devastated,i was crushed when i didnt get approved for a day off last week,I'm sorry to hear that! Is it that busy at work? Oh are you a teacher?
devastated,I have been trying to purchase a car but my credit is so bad. I even tried to repair it but to no avail.,Sometimes it just takes a time and you need to stay proactive. I know it can be disappointing.  Just keep a budget and stay strict. It will gradually get better.
devastated,I have two uncles and they both died within 3 months of each otehr,"That's very sad, I'm sorry. I have had family members pass as well and it is never easy.  That poor woman. Hopefully she is going to be all right. "
devastated,I was devestated when my grandmother passed away_comma_ I was not prepared to deal with that,We never are prepared for something like that.. how long ago was it?  I understand! Its been about the same for me since my parents passed and it doesnt hurt any less.  Im sorry but I can tell you are strong! 
devastated,I received a call that my friend was dead_comma_  when I was in an occasion ,Oh my goodness. I'm so sorry to hear that. How old was your friend?
devastated,When my brother fell ill we had no idea he would go so quick.,"Oh wow, I'm sorry. I hope he at least didn't suffer much. I'm sorry for you loss."
devastated,I had this amazing toy truck as a kid and accidentally broke it,Did you cry? Well it looks like you survived!
devastated,My friend lost his brother recently and it was so sad,"Oh wow, I'm sorry to hear that! loss can be hard :( I'm sorry! Take the time to grieve and be there for your friend."
devastated,I cant believe it_comma_ 3rd try and stilla  fail.,What did you fail? How many times have you tried?
devastated,My husband was in an accident a couple of years ago. A van pulled out in front of him. A woman we knew was in it and she passed away.,"Oh, well that's terrible! Hopefully, your husband was okay and nobody else was hurt. But, it's awful that anyone was. Yes, there are many times the emotional pain from tragic events are worse than physical. It doesn't make it easier that it was a person you knew, I'm sure. "
